Vote ID,File,Order of vote,Date,O'clock,Title,Title_Ro,Title_Fr,Title_German,Title_Polski,Procedure,Leg/Non-Leg/Bud,Type of Vote,Voting Rule,Rapporteur,Code,interinstitutional file number,Link,Committee responsabile,De/Policy area,Subject,Subject_ro,Subject_fr,Subject_ger,Subject_pl,Final vote?,Am No.,Author,RCV,Vote,Yeas,No,Abs,is_main
34,2.0,1.0,2014-07-17 00:00:00,,Escalation of violence between Israel and Palestine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0071/2014 ,2014/2723/RSP ,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN,0,Foreign & security policy,After paragraph 5,,,,,0.0,2,Greens/EFA,RCV,-,133,472,30,0.0
35,2.0,2.0,2014-07-17 00:00:00,,Escalation of violence between Israel and Palestine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0071/2014 ,2014/2723/RSP ,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN,0,Foreign & security policy,After paragraph 6,,,,,0.0,7,GUE/NGL,RCV,-,80,505,43,0.0
36,2.0,3.0,2014-07-17 00:00:00,,Escalation of violence between Israel and Palestine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0071/2014 ,2014/2723/RSP ,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN,0,Foreign & security policy,Paragraph 7,,,,,0.0,1,Greens/EFA,RCV,-,275,334,22,0.0
37,2.0,4.0,2014-07-17 00:00:00,,Escalation of violence between Israel and Palestine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0071/2014 ,2014/2723/RSP ,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN,0,Foreign & security policy,After paragraph 7,,,,,0.0,3,Greens/EFA,RCV,-,143,437,46,0.0
38,2.0,5.0,2014-07-17 00:00:00,,Escalation of violence between Israel and Palestine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0071/2014 ,2014/2723/RSP ,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN,0,Foreign & security policy,After recital G,,,,,0.0,5,GUE/NGL,RCV,-,158,439,36,0.0
39,2.0,6.0,2014-07-17 00:00:00,,Escalation of violence between Israel and Palestine,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0071/2014 ,2014/2723/RSP ,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0071&language=EN,0,Foreign & security policy,vote: resolution,,,,,1.0,,0,RCV,+,459,113,60,1.0
40,3.0,1.0,2014-09-16 00:00:00,,"EU-Ukraine association agreement, with the exception of the treatment of third country nationals legally employed as workers in the territory of the other party",,,,,***,Leg,Draft legislative resolution,s,Saryusz-Wolski ,A8-0002/2014 ,2013/0151A/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0002&language=EN,Committee on Foreign Affairs,Foreign & security policy,approbation,,,,,1.0,,0,RCV,+,535,127,35,1.0
41,3.0,1.0,2014-09-16 00:00:00,,"EU-Ukraine association agreement, as regards the treatment of third country nationals legally employed as workers in the territory of the other party",,,,,***,Leg,Draft legislative resolution,s,Moraes ,A8-0009/2014 ,2013/0151B/NLE,http://www.europarl.europa.eu/sides/getDoc.do?type=AGENDA&reference=20140916&secondRef=SIT&language=EN,"Committee on Civil Liberties, Justice and Home Affairs","Civil liberties, justice & home affairs",approbation,,,,,1.0,,0,RCV,+,539,123,33,1.0
42,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/000 TA 2014 - Technical assistance at the initiative of the Commission,,,,,,Bud,Motion for resolution,q,Ni Riada,A8-0003/2014,2014/2041/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0003&language=EN,Committee on Budgets,Budget,single vote,,,,,1.0,,0,RCV,+,550,80,67,1.0
43,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund - application EGF/2014/001 EL/Nutriart,,,,,,Bud,Motion for resolution,q,Kyrtsos,A8-0004/2014,2014/2042/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0004&language=EN,Committee on Budgets,Budget,single vote,,,,,1.0,,0,RCV,+,624,69,11,1.0
44,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund : application EGF/2012/010 RO/MECHEL - Romania,,,,,,Bud,Motion for resolution,q,Mureşan,A8-0008/2014,2014/2043/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0008&language=EN,Committee on Budgets,Budget,single vote,,,,,1.0,,0,RCV,+,614,71,16,1.0
45,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund : application EGF/2014/003 ES/Aragón food and beverage - Spain,,,,,,Bud,Motion for resolution,q,Jäätteenmäki,A8-0006/2014,2014/2054/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0006&language=EN,Committee on Budgets,Budget,single vote,,,,,1.0,,0,RCV,+,597,74,26,1.0
46,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund : application EGF/2014/002 NL/Gelderland-Overijssel construction – The Netherlands,,,,,,Bud,Motion for resolution,q,Tang,A8-0005/2014,2014/2055/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0005&language=EN,Committee on Budgets,Budget,single vote,,,,,1.0,,0,RCV,+,602,70,30,1.0
47,4.0,1.0,2014-09-17 00:00:00,,Mobilisation of the European Globalisation Adjustment Fund: application EGF/2013/010 ES/Castilla y León - Spain,,,,,,Bud,Motion for resolution,q,González Pons,A8-0007/2014,2014/2062/BUD,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A8-2014-0007&language=EN,Committee on Budgets,Budget,single vote,,,,,1.0,,0,RCV,+,618,71,11,1.0
48,5.0,1.0,18.09.2014,,Situation in Ukraine and state of play of EU-Russia relations,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0118/2014,2014/2841/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN,0,Foreign & security policy,After paragraph 10,,,,,0.0,10,S&D,RCV,+,481,38,114,0.0
49,5.0,2.0,18.09.2014,,Situation in Ukraine and state of play of EU-Russia relations,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0118/2014,2014/2841/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN,0,Foreign & security policy,Paragraph 18,,,,,0.0,11,S&D,RCV,+,463,129,48,0.0
50,5.0,3.0,18.09.2014,,Situation in Ukraine and state of play of EU-Russia relations,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0118/2014,2014/2841/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN,0,Foreign & security policy,After paragraph 34,,,,,0.0,14,S&D,RCV,+,465,95,82,0.0
51,5.0,4.0,18.09.2014,,Situation in Ukraine and state of play of EU-Russia relations,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0118/2014,2014/2841/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN,0,Foreign & security policy,After paragraph 34,,,,,0.0,14,S&D,RCV,+,334,254,41,0.0
52,5.0,5.0,18.09.2014,,Situation in Ukraine and state of play of EU-Russia relations,,,,,,Non,Joint Motions for a resolution,s,0,RC-B8-0118/2014,2014/2841/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P8-RC-2014-0118&language=EN,0,Foreign & security policy,Recital K,,,,,0.0,8,S&D,RCV,+,470,137,39,0.0
53,5.0,1.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 1,,,,,0.0,,original text,RCV,-,77,481,76,0.0
54,5.0,2.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 3,,,,,0.0,,original text,RCV,-,62,494,57,0.0
55,5.0,3.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 4,,,,,0.0,,original text,RCV,-,71,477,73,0.0
56,5.0,4.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 5,,,,,0.0,,original text,RCV,-,81,486,58,0.0
57,5.0,5.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 8,,,,,0.0,,original text,RCV,-,68,506,65,0.0
58,5.0,6.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 10 point d,,,,,0.0,,original text,RCV,-,61,520,56,0.0
59,5.0,7.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 10 point e,,,,,0.0,,original text,RCV,-,64,512,52,0.0
60,5.0,8.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 10 point f,,,,,0.0,,original text,RCV,-,65,510,58,0.0
61,5.0,9.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 10 point i,,,,,0.0,,original text,RCV,-,116,455,59,0.0
62,5.0,10.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 10 point k,,,,,0.0,,original text,RCV,-,63,503,61,0.0
63,5.0,11.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Paragraph 10 point m ,,,,,0.0,,original text,RCV,-,63,506,57,0.0
64,5.0,12.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Recital E,,,,,0.0,,original text,RCV,-,67,497,69,0.0
65,5.0,13.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Recital F,,,,,0.0,,original text,RCV,-,66,465,98,0.0
66,5.0,14.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Recital G,,,,,0.0,,original text,RCV,-,76,462,98,0.0
67,5.0,15.0,18.09.2014,,Israel-Palestine after the Gaza war and the role of the EU- Resolution by GUE/NGL Group,,,,,,Non,Motion for resolution,s,0,B8-0112/2014,2014/2845/RSP,http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B8-2014-0112&language=EN,0,Foreign & security policy,Recital I ,,,,,0.0,,original text,RCV,-,76,452,104,0.0
